topic,argument,key_point,stance,label,set,ibm_pro_deb_qs
Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,The terminally ill would benefit from assisted suicide,-1,0,train,0.8687478303909302
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8838835954666138
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,Assisted suicide reduces suffering,-1,0,train,0.8838835954666138
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,People should have the freedom to choose to end their life,-1,1,train,0.8838835954666138
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,The terminally ill would benefit from assisted suicide,-1,0,train,0.8838835954666138
Assisted suicide should be a criminal offence,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8213921189308167
Assisted suicide should be a criminal offence,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide reduces suffering,-1,1,train,0.8213921189308167
Assisted suicide should be a criminal offence,allow assisted suicide could allow unscrupulous people to become serial killers,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9189783930778503
Assisted suicide should be a criminal offence,allow assisted suicide could allow unscrupulous people to become serial killers,Assisted suicide violates the doctor's role,1,0,train,0.9189783930778503
Assisted suicide should be a criminal offence,allow assisted suicide could allow unscrupulous people to become serial killers,People do not have the right to self-harm/harm others,1,0,train,0.9189783930778503
Assisted suicide should be a criminal offence,allow assisted suicide could allow unscrupulous people to become serial killers,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9189783930778503
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.943875789642334
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide is akin to killing someone,1,0,train,0.943875789642334
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.943875789642334
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide violates the doctor's role,1,0,train,0.943875789642334
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,People do not have the right to self-harm/harm others,1,0,train,0.943875789642334
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,People who are ill do not have clear judgement and are in need of help,1,0,train,0.943875789642334
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.8811702728271484
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide is akin to killing someone,1,1,train,0.8811702728271484
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.8811702728271484
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide violates the doctor's role,1,0,train,0.8811702728271484
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.8811702728271484
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.6783441305160522
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide is akin to killing someone,1,0,train,0.6783441305160522
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide should not be allowed because many times people can still get better,1,1,train,0.6783441305160522
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide violates the doctor's role,1,0,train,0.6783441305160522
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",People do not have the right to self-harm/harm others,1,0,train,0.6783441305160522
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",People who are ill do not have clear judgement and are in need of help,1,0,train,0.6783441305160522
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.8678137063980103
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide is akin to killing someone,1,1,train,0.8678137063980103
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.8678137063980103
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide violates the doctor's role,1,0,train,0.8678137063980103
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,People who are ill do not have clear judgement and are in need of help,1,0,train,0.8678137063980103
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9424646496772766
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide is akin to killing someone,1,0,train,0.9424646496772766
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9424646496772766
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide violates the doctor's role,1,0,train,0.9424646496772766
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,People do not have the right to self-harm/harm others,1,0,train,0.9424646496772766
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9424646496772766
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8558585047721863
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide reduces suffering,-1,1,train,0.8558585047721863
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,The terminally ill would benefit from assisted suicide,-1,1,train,0.8558585047721863
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.913264274597168
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,Assisted suicide reduces suffering,-1,1,train,0.913264274597168
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,The terminally ill would benefit from assisted suicide,-1,1,train,0.913264274597168
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.8877482414245605
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide reduces suffering,-1,1,train,0.8877482414245605
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,People should have the freedom to choose to end their life,-1,0,train,0.8877482414245605
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9551115036010742
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide reduces suffering,-1,0,train,0.9551115036010742
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,People should have the freedom to choose to end their life,-1,0,train,0.9551115036010742
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,The terminally ill would benefit from assisted suicide,-1,0,train,0.9551115036010742
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9357512593269348
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide reduces suffering,-1,1,train,0.9357512593269348
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,People should have the freedom to choose to end their life,-1,0,train,0.9357512593269348
Assisted suicide should be a criminal offence,Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere. It is a human right to choose not to suffer with a terminal illness.,Assisted suicide reduces suffering,-1,1,train,0.9339408874511719
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,Assisted suicide is akin to killing someone,1,0,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,Assisted suicide violates the doctor's role,1,0,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,People do not have the right to self-harm/harm others,1,0,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9024468660354614
Assisted suicide should be a criminal offence,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9675828814506531
Assisted suicide should be a criminal offence,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,People should have the freedom to choose to end their life,-1,1,train,0.9675828814506531
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.8356430530548096
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.8356430530548096
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,Assisted suicide violates the doctor's role,1,1,train,0.8356430530548096
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.8356430530548096
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.885039746761322
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,Assisted suicide reduces suffering,-1,1,train,0.885039746761322
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,People should have the freedom to choose to end their life,-1,0,train,0.885039746761322
Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8976519107818604
Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide reduces suffering,-1,1,train,0.8976519107818604
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide is akin to killing someone,1,1,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide violates the doctor's role,1,0,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,People do not have the right to self-harm/harm others,1,0,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.8977522850036621
Assisted suicide should be a criminal offence,"assisted suicide is a blessing not a crime. a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.",Assisted suicide reduces suffering,-1,1,train,0.8884880542755127
Assisted suicide should be a criminal offence,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.9221612215042114
Assisted suicide should be a criminal offence,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,The terminally ill would benefit from assisted suicide,-1,0,train,0.9221612215042114
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.7958511710166931
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide is akin to killing someone,1,1,train,0.7958511710166931
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.7958511710166931
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide violates the doctor's role,1,0,train,0.7958511710166931
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,People do not have the right to self-harm/harm others,1,0,train,0.7958511710166931
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,People who are ill do not have clear judgement and are in need of help,1,0,train,0.7958511710166931
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.955716609954834
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide is akin to killing someone,1,1,train,0.955716609954834
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.955716609954834
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide violates the doctor's role,1,0,train,0.955716609954834
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,People do not have the right to self-harm/harm others,1,0,train,0.955716609954834
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.955716609954834
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide is akin to killing someone,1,1,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide violates the doctor's role,1,0,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,People do not have the right to self-harm/harm others,1,0,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide is akin to killing someone,1,1,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide violates the doctor's role,1,0,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,People do not have the right to self-harm/harm others,1,0,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9217125773429871
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide is akin to killing someone,1,1,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide violates the doctor's role,1,0,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,People do not have the right to self-harm/harm others,1,0,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.9236858487129211
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide reduces suffering,-1,1,train,0.9236858487129211
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,People should have the freedom to choose to end their life,-1,0,train,0.9236858487129211
Assisted suicide should be a criminal offence,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.6269579529762268
Assisted suicide should be a criminal offence,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide reduces suffering,-1,1,train,0.6269579529762268
Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.9530001878738403
Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide reduces suffering,-1,1,train,0.9530001878738403
Assisted suicide should be a criminal offence,assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,People should have the freedom to choose to end their life,-1,0,train,0.9054201245307922
Assisted suicide should be a criminal offence,assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,The terminally ill would benefit from assisted suicide,-1,0,train,0.9054201245307922
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8566117882728577
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide reduces suffering,-1,1,train,0.8566117882728577
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,People should have the freedom to choose to end their life,-1,0,train,0.8566117882728577
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,The terminally ill would benefit from assisted suicide,-1,0,train,0.8566117882728577
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,Assisted suicide gives dignity to the person that wants to commit it,-1,0,train,0.8977739214897156
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,Assisted suicide reduces suffering,-1,0,train,0.8977739214897156
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,People should have the freedom to choose to end their life,-1,1,train,0.8977739214897156
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,The terminally ill would benefit from assisted suicide,-1,0,train,0.8977739214897156
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide is akin to killing someone,1,0,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide violates the doctor's role,1,1,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,People do not have the right to self-harm/harm others,1,0,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide is akin to killing someone,1,1,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide violates the doctor's role,1,0,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,People do not have the right to self-harm/harm others,1,0,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,People who are ill do not have clear judgement and are in need of help,1,0,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide is akin to killing someone,1,1,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide violates the doctor's role,1,0,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,People do not have the right to self-harm/harm others,1,0,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,People who are ill do not have clear judgement and are in need of help,1,0,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide allows people to solicit someone to die to their own benefit,1,0,train,0.924964189529419
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide is akin to killing someone,1,1,train,0.924964189529419
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide should not be allowed because many times people can still get better,1,0,train,0.924964189529419
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide violates the doctor's role,1,0,train,0.924964189529419
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,People do not have the right to self-harm/harm others,1,0,train,0.924964189529419
